@context,@type,name,url,startDate,endDate,location,description,image
http://www.schema.org,Event,Réunion des  Indignés- Groupe de travail Constituante - Démocratie Réelle Maintenant,https://paris.demosphere.net/rv/19667,2012-01-02T19:00,2012-01-02,"{'@type': 'Place', 'name': 'Devant le café « Le tabac de la Bourse », Paris 10e', 'url': 'https://paris.demosphere.net/lieu/10489', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Paris 10e', 'streetAddress': 'Devant le café « Le tabac de la Bourse »\n4 bd Magenta\nMétro République ou Jacques-Bonsergent'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 48.869232, 'longitude': 2.362468}}","Groupe de travail Constituante

Indignés - Démocratie Réelle Maintenant

Réunion du groupe de travail pour avancer sur le projet de référendum constituant.

Voici les [compte-rendus](http://paris.reelledemocratie.com/taxonomy/term/194) des précédentes réunions.

Source : http://paris.reelledemocratie.com/node/925",
http://www.schema.org,Event,Réunion des  Indignés à La Défense - Démocratie Réelle Maintenant,https://paris.demosphere.net/rv/19717,2012-01-03T17:00,2012-01-03,"{'@type': 'Place', 'name': 'Grande arche de La Défense, La Défense', 'url': 'https://paris.demosphere.net/lieu/978', 'address': {'@type': 'PostalAddress', 'addressLocality': 'La Défense', 'streetAddress': 'Grande arche de La Défense\nPuteaux (92)\nMétro et RER-A - La Défense'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 48.8917390229, 'longitude': 2.23627567291}}","Point action avec la commission internationale de Madrid

Indignés - Démocratie Réelle Maintenant

Parvis de la défense-Puteaux

Point action avec la commission internationale de Madrid (source: Ilgmar/François)

Source : http://paris.reelledemocratie.com/node/937",
http://www.schema.org,Event,"Réunion, grève au lycée Jacques-Monod de Clamart - fermerture de toute la filière STG",https://paris.demosphere.net/rv/19613,2012-01-03T18:00,2012-01-03,"{'@type': 'Place', 'name': 'Lycée Jacques-Monod, Clamart', 'url': 'https://paris.demosphere.net/lieu/3958', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Clamart', 'streetAddress': 'Lycée Jacques-Monod\n46 Rue Fort\nClamart (92)'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 48.795673, 'longitude': 2.2724764}}","Clamart : grève reconductible à la rentrée

Le 3 décembre:

-  9h : AG de tous les professeurs. Prévoir du matériel pour faire une grande affiche à fixer devant le lycée.
-  10h : rencontre avec les élus des fédérations des parents d'élèves et les représentants de la Mairie.
-  11h : échange en salle polyvalente avec les délégués des élèves et les élus des élèves au CA et CVL.
-  18h : réunion ouverte à tous les parents d'élève de Clamart et aux collègues des collèges de Clamart et Châtilllon. Faire au plus vite un petit tract d'annonce.

Chères, chers camarades et collègues,

Les enseignant-e-s du lycée Jacques-Monod de Clamart ont décidé une grève reconductible dès la rentrée.

Nous avons en effet appris lundi dernier la décision du recteur de fermer toute la filière STG du lycée, soit quatre classes.

Après une première AG mardi de 50 collègues (sur 90, soit presque tou-te-s les présent-e-s à ce moment-là) mardi, la décision de la grève a été prise par une nouvelle AG jeudi, avant l…",https://paris.demosphere.net/files/import-images/e9801b2437169f3d83648a26ac07142a.png
http://www.schema.org,Event,Réunion du Groupe Multiprofessionnel des Prisons - GMP,https://paris.demosphere.net/rv/19651,2012-01-03T19:00,2012-01-03,"{'@type': 'Place', 'name': 'ENS Campus Jourdan, Paris 14e', 'url': 'https://paris.demosphere.net/lieu/771', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Paris 14e', 'streetAddress': ""ENS Campus Jourdan\nÉcole Normale Supérieure\n48, Boulevard Jourdan\nMétro Porte d'Orléans\nRER-B Cité-Universitaire\nTram-T3 Montsouris""}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 48.8219959, 'longitude': 2.3305769999999}}","Prochaine réunion du GMP : 3 janvier (""Lieux de vie"", suite)

Invitation à la prochaine réunion du GMP

Mardi 3 janvier 2012
Début 19 h - 22 h 30 fin

Première partie : échange de voeux et galette
Echanges et discussion des informations depuis le mois dernier.

Deuxième partie : ""Lieux de vie"", suite
Nous continuons le travail de réflexion commencé en décembre 2011 et reproduisons ici l'argumentaire de la première réunion :

Des lieux pour vivre sans enfermement et sans limitations de durée.

Il s'agit de réfléchir à la conception de LIEUX de VIE sans limitations de durée pour des personnes en difficulté à vivre, à se supporter, à s'encadrer toute seules au quotidien. Lieux de vie à court terme et ou à durée illimitée, fonctionnant le plus possible en ressources propres, peut-être même hors des dispositifs sanitaires et sociaux réglementés.

Pour que la prison ne continue pas à être infligée par défaut.

Se stabiliser physiquement, économiquement, psychologiquement dans un lieu de vie …",
http://www.schema.org,Event,Réunion des  Indignés- commission juridique  - Démocratie Réelle Maintenant,https://paris.demosphere.net/rv/19707,2012-01-03T19:00,2012-01-03,"{'@type': 'Place', 'name': 'Café « Le tabac de la Bourse », Paris 10e', 'url': 'https://paris.demosphere.net/lieu/3089', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Paris 10e', 'streetAddress': 'Café « Le tabac de la Bourse »\n4 bd Magenta\nMétro République ou Jacques-Bonsergent'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 48.869232, 'longitude': 2.362468}}","Réunion de la commission juridique

Indignés - Démocratie Réelle Maintenant

Source : http://paris.reelledemocratie.com/node/932",
http://www.schema.org,Event,"Séminaire de recherche ""L'islamophobie en France"" - EHESS",https://paris.demosphere.net/rv/19062,2012-01-04T11:00,2012-01-04,"{'@type': 'Place', 'name': 'EHESS, Paris 6e', 'url': 'https://paris.demosphere.net/lieu/15728', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Paris 6e', 'streetAddress': 'EHESS\nÉcole des hautes études en sciences sociales\nSalle 1\n105 boulevard Raspail\nMétro Saint Placide ou Notre Dame des Champs'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 48.8442889, 'longitude': 2.328815}}","Séminaire: L'islamophobie en France

enjeux théoriques et méthodologiques

Animé par

-  Abdellali Hajjat, maître de conférences à l'université Paris-Ouest Nanterre
-  Marwan Mohammed, chargé de recherche CNRS (CMH-ERIS)

Dates : les 1er et 3e mercredis du mois de 11 h à 13 h, du 2 novembre 2011 au 16 mai 2012.

Lieu : EHESS, salle 1, 105 bd Raspail 75006 Paris.

Programme de l'année

Dans l'espace public français, la « question musulmane » est au coeur de controverses multiples et répétées remettant en cause la légitimité de la présence des (présumés) musulmans sur le territoire national, qu'ils soient étrangers ou citoyens. Au moins depuis la fin de la guerre d'Algérie, l'hostilité, revendiquée ou implicite, à l'encontre des musulmans s'est traduite par une telle inflation de discours de disqualification et de pratiques discriminatoires que certains chercheurs parlent de racisme respectable ou d'islamophobie. Si les pratiques religieuses des musulmans de France sont relativement bien…",https://paris.demosphere.net/files/import-images/07b4746a922e0cc5ef22e730f3a57a16.png
http://www.schema.org,Event,Manifestation de soutien à Xavier Mathieu  de Continental - répression anti-syndicale,https://paris.demosphere.net/rv/19181,2012-01-04T11:00,2012-01-04,"{'@type': 'Place', 'name': ""Devant la gare d'Amiens, Amiens"", 'url': 'https://paris.demosphere.net/lieu/2542', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Amiens', 'streetAddress': ""Devant la gare d'Amiens\nAmiens (80)""}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 49.8905556, 'longitude': 2.3083333}}","Soutien à Xavier Mathieu - Continental

Comité de lutte des travailleurs de Continental

Rendez-vous:

-  8h30 - sur le parking de l'usine Continental
-  11h00 - devant la gare d'Amiens

Appel à manifester le 4 Janvier 2012 à Amiens à 11 heures à la gare, pour se rendre à la cour d'appel

Pour exiger :

- La fin du harcèlement judiciaire contre les salariés de Continental et tous ceux qui défendent leurs droits et refusent les diktats patronaux.
- La reconnaissance du jugement de relaxe prononcé par le tribunal de Compiègne en faveur de Xavier Mathieu, la fin des poursuites pour refus du prélèvement ADN et l'assimilation de l'action revendicative à un délit.

Le mercredi 4 janvier 2012 à 13h30 se tiendra à la Cour d'appel d'Amiens le procès pour juger Xavier Mathieu, qui avait été pourtant relaxé par le tribunal de Compiègne, pour avoir refusé le prélèvement ADN suite à la simple amende à laquelle il avait été condamné, comme cinq autres travailleurs de Continental, pour leur participa…",https://paris.demosphere.net/files/import-images/resized-3230bdf24e42f8d733fe2fdf2366d35a.png
http://www.schema.org,Event,"Formation ""Histoire du mouvement ouvrier"" - CGT 20e",https://paris.demosphere.net/rv/19595,2012-01-04T17:30,2012-01-04,"{'@type': 'Place', 'name': 'local de UL CGT 20e, Paris 20e', 'url': 'https://paris.demosphere.net/lieu/1521', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Paris 20e', 'streetAddress': 'local de UL CGT 20e\n13 rue Pierre Bonnard\nMétro Porte de Bagnolet ou Maraîchers'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 48.859591, 'longitude': 2.403667}}","Histoire du mouvement ouvrier

Chaque mercredi, à compter du 4 janvier 2012, de 17h30 à 18h30 a lieu une formation sur l'histoire du mouvement ouvrier. Cette formation est accessible à tous [les adhérents CGT], il n'est pas nécessaire de s'inscrire.

Voici les thèmes abordés :

- Crise de 1929, aspects économiques.
- La montée du nazisme.
- Juin 36 en France.
- Révolution en Espagne.
- Vague de grèves aux USA, 1934-37.
- La montée vers la guerre. Guerre et après guerre (France)
- La montée vers la guerre. Guerre et après guerre(Italie).
- La montée de la guerre. la guerre et l'après guerre (Europe centrale).
- Le mouvement ouvrier dans les colonies (Viet-Nam).
- Le mouvement ouvrier dans les colonies (Afrique du Nord). - Le mouvement ouvrier dans les colonies (Inde). - Révolution chinoise, 1949.

Source : http://ulcgt20.org/spip.php?article667",
http://www.schema.org,Event,Permanence syndicale UL CNT Chelles & MLV - Bourse du travail autogérée,https://paris.demosphere.net/rv/18935,2012-01-04T18:00,2012-01-04,"{'@type': 'Place', 'name': '1 bis impasse Emilie, Chelles', 'url': 'https://paris.demosphere.net/lieu/3203', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Chelles', 'streetAddress': '1 bis impasse Emilie\nChelles (77)\nRER-E, Transilien-P Chelles-Gournay'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 48.8729759765, 'longitude': 2.57930619895}}","Bourse du travail autogérée

Permanence syndicale Union Locale CNT Chelles & Marne-La-Vallée

L'Union Locale CNT Chelles & MLV s'investit pour construire une véritable bourse du travail autogérée sans permanent. En puisant dans les expériences d'auto-organisation, nous envisageons impulser un outil de combat et d'émancipation. Dans un premier temps, nous animons une permanence syndicale hebdomadaire ouverte aux salariés du public, du privé, aux précaires et aux chômeurs. Nous menons actuellement une campagne contre le contrôle social des chômeurs en proposant un cadre d'informations juridiques et d'actions collectives pour «stopper les radiations» du Pôle Emploi. Un écrivain public intervient également en complément de la permanence pour mettre en forme les démarches administratives, proposer des lettres de motivation, des CV…

La permanence syndicale animée par des syndicalistes de la CNT est un espace d'échanges, et d'actions collectives. Vous pouvez passer pour vous informer sur les…",https://paris.demosphere.net/files/import-images/resized-d1a31cb9718867c53c7584fa808c5ac0.png
http://www.schema.org,Event,Réunion du Comité de défense et de modernisation de l'Hôpital de Nanterre,https://paris.demosphere.net/rv/19693,2012-01-04T18:30,2012-01-04,"{'@type': 'Place', 'name': 'Salle Valérie Méot, Nanterre', 'url': 'https://paris.demosphere.net/lieu/3971', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Nanterre', 'streetAddress': 'Salle Valérie Méot\n5 Résidence des Iris\nNanterre (92)\nRER-A Nanterre-Université'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 48.9079277, 'longitude': 2.217996}}","Comité de défense et de modernisation de

l'Hôpital de Nanterre

Bonjour à tous,

La prochaine réunion du Comité de défense et de modernisation de l'hôpital de Nanterre se tiendra le mercredi 4 janvier, à partir de 18h30, salle Valérie Méot, 5 Résidence des Iris à Nanterre. Les points à discuter seront les suivants :

- Réfléchir aux modalités d'information et de mobilisation pour la manifestation des salariés de Max Fourestier le 12 janvier. Il est prévu qu'ils partent pour Aubervilliers, au siège de l'ARS Île de France, afin d'y être reçus et d'exposer leurs revendications.
- Confirmation de la manifestation du Comité le samedi 21 janvier.
Si oui, il faut fixer l'horaire et le parcours mais aussi réfléchir au moyen de mobiliser le plus largement possible pour assurer le succès de cette initiative.
- Le Comité de défense de Louis Mourier à demandé qu'une délégation rencontre les membres du collectif d'animation. Il faudra statuer sur cette demande qui va dans le sens positif du rappro…",https://paris.demosphere.net/files/import-images/da268c49df5c75fa1d8027545ac01f7c.png
